synthetic_id,source_osm_id,source_name,delivery_station_id,primary_station_id,primary_station_name,delivery_voltage_kv,street_graph_node,route_distance_km,peak_demand_mw,provenance
SYN-0275,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,3177524998,2.170081,0.08526826370343647,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-0276,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,2024511966,2.118712,0.08526826370343647,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-0277,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,3177524992,2.366384,0.08526826370343647,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-1188,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,897250834,3.4480339999999994,0.08165032184301015,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-1190,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,520409585,3.614064999999999,0.08165032184301015,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-1199,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,3637128357,3.3850629999999997,0.08165032184301015,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-1208,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,13831273768,3.745530999999999,0.08165032184301015,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-1217,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,6770731825,3.2782519999999993,0.08165032184301015,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-1978,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,6777999545,3.889935,0.08142540794124,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
SYN-1979,356832545,Novi Sad 1 - Ledinci,NS1,NS1,Novi Sad 1 - Ledinci,20.0,3188356150,3.1684890000000006,0.08142540794124,capacity-balanced inferred shortest-path assignment on OSM streets; not an as-built feeder
