synthetic_id,parent_landuse_osm_id,land_use,longitude,latitude,annual_consumption_mwh,peak_demand_mw,provenance
SYN-0001,43108890,military,19.8287496,45.2339326,441.9123062129237,0.08273244088917749,synthetic land-use allocation; not a verified utility asset
SYN-0002,43108890,military,19.8283235,45.234942,441.9123062129237,0.08273244088917749,synthetic land-use allocation; not a verified utility asset
SYN-0003,43108890,military,19.8283344,45.2349426,441.9123062129237,0.08273244088917749,synthetic land-use allocation; not a verified utility asset
SYN-0004,43108890,military,19.8293307,45.2338966,441.9123062129237,0.08273244088917749,synthetic land-use allocation; not a verified utility asset
SYN-0005,43189539,residential,19.8406304,45.2379158,463.4856198090168,0.08677128042086615,synthetic land-use allocation; not a verified utility asset
SYN-0006,43546062,residential,19.8770739,45.2716042,446.49927954813467,0.08359118932179689,synthetic land-use allocation; not a verified utility asset
SYN-0007,43546062,residential,19.8782252,45.2715941,446.49927954813467,0.08359118932179689,synthetic land-use allocation; not a verified utility asset
SYN-0008,43546062,residential,19.8767661,45.2727629,446.49927954813467,0.08359118932179689,synthetic land-use allocation; not a verified utility asset
SYN-0009,43546062,residential,19.8762411,45.271689,446.49927954813467,0.08359118932179689,synthetic land-use allocation; not a verified utility asset
SYN-0010,43546062,residential,19.8762736,45.2727473,446.49927954813467,0.08359118932179689,synthetic land-use allocation; not a verified utility asset
SYN-0011,43546062,residential,19.8760345,45.2718747,446.49927954813467,0.08359118932179689,synthetic land-use allocation; not a verified utility asset
SYN-0012,43546062,residential,19.8755659,45.2714345,446.49927954813467,0.08359118932179689,synthetic land-use allocation; not a verified utility asset
SYN-0013,138182628,military,19.8509028,45.257095,42.03533154921753,0.007869628280903738,synthetic land-use allocation; not a verified utility asset
SYN-0014,139671543,military,19.8255522,45.2334523,193.41157374210005,0.03620947270970823,synthetic land-use allocation; not a verified utility asset
SYN-0015,143035742,commercial,19.8183035,45.2538352,434.2664158676375,0.08130101849576775,synthetic land-use allocation; not a verified utility asset
SYN-0016,143035742,commercial,19.8221855,45.2567314,434.2664158676375,0.08130101849576775,synthetic land-use allocation; not a verified utility asset
SYN-0017,143035742,commercial,19.8232554,45.2563349,434.2664158676375,0.08130101849576775,synthetic land-use allocation; not a verified utility asset
